 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  17. 8.2020    Time:   6:18:56
 Units: L = m    , T = min  , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency
      141  0.1050000E+03  0.27344E+01   10      614     3     3     T
      142  0.1057143E+03  0.71429E+00    5      629     3     3     T
      143  0.1064286E+03  0.71429E+00    2      631     3     3     T
      144  0.1073571E+03  0.92857E+00    3      634     3     3     T
      145  0.1077786E+03  0.42143E+00    2      646     3     3     T
      146  0.1083264E+03  0.54786E+00    3      649     3     3     T
      147  0.1090386E+03  0.71221E+00    2      651     3     3     T
      148  0.1093473E+03  0.30863E+00    2      663     3     3     T
      149  0.1097485E+03  0.40121E+00    3      666     3     3     T
      150  0.1102701E+03  0.52158E+00    2      668     3     3     T
      151  0.1109481E+03  0.67805E+00    2      670     3     3     T
      152  0.1118533E+03  0.90519E+00    2      672     3     3     T
      153  0.1130171E+03  0.11638E+01    2      674     3     3     T
      154  0.1144137E+03  0.13966E+01    3      677     3     3     T
      155  0.1162758E+03  0.18621E+01    3      680     3     3     T
      156  0.1200000E+03  0.37242E+01    3      683     3     3     T
      157  0.1230000E+03  0.30000E+01    5      688     3     3     T
      158  0.1260000E+03  0.30000E+01    4      692     3     3     T
      159  0.1290000E+03  0.30000E+01    7      699     3     3     T
      160  0.1310000E+03  0.20000E+01    4      703     3     3     T
      161  0.1330000E+03  0.20000E+01    9      712     3     3     T
      162  0.1336667E+03  0.66667E+00    5      727     3     3     T
      163  0.1343333E+03  0.66667E+00    2      729     3     3     T
      164  0.1350000E+03  0.66667E+00    2      731     3     3     T
      165  0.1358667E+03  0.86667E+00    3      734     3     3     T
      166  0.1369933E+03  0.11267E+01    2      736     3     3     T
      167  0.1384385E+03  0.14452E+01    2      738     3     3     T
      168  0.1403654E+03  0.19269E+01    3      741     3     3     T
      169  0.1427741E+03  0.24086E+01    3      744     3     3     T
      170  0.1463870E+03  0.36130E+01    5      749     3     3     T
      171  0.1500000E+03  0.36130E+01    5      754     3     3     T
      172  0.1530000E+03  0.30000E+01    4      758     3     3     T
      173  0.1560000E+03  0.30000E+01    4      762     3     3     T
      174  0.1590000E+03  0.30000E+01    6      768     3     3     T
      175  0.1620000E+03  0.30000E+01   10      778     3     3     T
      176  0.1630000E+03  0.10000E+01    5      793     3     3     T
      177  0.1640000E+03  0.10000E+01    2      795     3     3     T
      178  0.1650000E+03  0.10000E+01    2      797     3     3     T
      179  0.1663000E+03  0.13000E+01    5      802     3     3     T
      180  0.1676000E+03  0.13000E+01    2      804     3     3     T
      181  0.1693714E+03  0.17714E+01    2      806     3     3     T
      182  0.1714971E+03  0.21257E+01    3      809     3     3     T
      183  0.1743314E+03  0.28343E+01    4      813     3     3     T
      184  0.1771657E+03  0.28343E+01    3      816     3     3     T
      185  0.1800000E+03  0.28343E+01    4      820     3     3     T
      186  0.1830000E+03  0.30000E+01    4      824     3     3     T
      187  0.1860000E+03  0.30000E+01    4      828     3     3     T
      188  0.1890000E+03  0.30000E+01    4      832     3     3     T
      189  0.1920000E+03  0.30000E+01    5      837     3     3     T
      190  0.1950000E+03  0.30000E+01    7      844     3     3     T
      191  0.1968750E+03  0.18750E+01    4      848     3     3     T
      192  0.1987500E+03  0.18750E+01    5      853     3     3     T
      193  0.2006250E+03  0.18750E+01    2      855     3     3     T
      194  0.2014062E+03  0.78125E+00    2      867     3     3     T
      195  0.2024805E+03  0.10742E+01    4      871     3     3     T
      196  0.2035547E+03  0.10742E+01    2      873     3     3     T
      197  0.2048437E+03  0.12891E+01    2      875     3     3     T
      198  0.2065625E+03  0.17188E+01    3      878     3     3     T
      199  0.2082812E+03  0.17188E+01    2      880     3     3     T
      200  0.2100000E+03  0.17188E+01    2      882     3     3     T
      201  0.2130000E+03  0.30000E+01    3      885     3     3     T
      202  0.2170000E+03  0.40000E+01    4      889     3     3     T
      203  0.2210000E+03  0.40000E+01    5      894     3     3     T
      204  0.2250000E+03  0.40000E+01    6      900     3     3     T
      205  0.2287500E+03  0.37500E+01    7      907     3     3     T
      206  0.2315625E+03  0.28125E+01    6      913     3     3     T
      207  0.2325000E+03  0.93750E+00    4      927     3     3     T
      208  0.2334375E+03  0.93750E+00    2      929     3     3     T
      209  0.2347500E+03  0.13125E+01    2      931     3     3     T
      210  0.2365000E+03  0.17500E+01    4      935     3     3     T
      211  0.2370833E+03  0.58333E+00    2      947     3     3     T
      212  0.2378125E+03  0.72917E+00    3      950     3     3     T
      213  0.2389063E+03  0.10938E+01    2      952     3     3     T
      214  0.2400000E+03  0.10938E+01    2      954     3     3     T
      215  0.2412816E+03  0.12816E+01    2      956     3     3     T
      216  0.2429964E+03  0.17148E+01    2      958     3     3     T
      217  0.2449970E+03  0.20006E+01    2      960     3     3     T
      218  0.2474977E+03  0.25008E+01    3      963     3     3     T
      219  0.2512489E+03  0.37511E+01    4      967     3     3     T
      220  0.2550000E+03  0.37511E+01    4      971     3     3     T
      221  0.2587500E+03  0.37500E+01    4      975     3     3     T
      222  0.2625000E+03  0.37500E+01    5      980     3     3     T
      223  0.2662500E+03  0.37500E+01    5      985     3     3     T
      224  0.2700000E+03  0.37500E+01    9      994     3     3     T
      225  0.2725000E+03  0.25000E+01    4      998     3     3     T
      226  0.2750000E+03  0.25000E+01    6     1004     3     3     T
      227  0.2758333E+03  0.83333E+00    2     1016     3     3     T
      228  0.2769792E+03  0.11458E+01    3     1019     3     3     T
      229  0.2783160E+03  0.13368E+01    2     1021     3     3     T
      230  0.2799870E+03  0.16710E+01    5     1026     3     3     T
      231  0.2816580E+03  0.16710E+01    2     1028     3     3     T
      232  0.2850000E+03  0.33420E+01    3     1031     3     3     T
      233  0.2880000E+03  0.30000E+01    3     1034     3     3     T
      234  0.2920000E+03  0.40000E+01    4     1038     3     3     T
      235  0.2960000E+03  0.40000E+01    4     1042     3     3     T
      236  0.3000000E+03  0.40000E+01    4     1046     3     3     T
      237  0.3037500E+03  0.37500E+01    4     1050     3     3     T
      238  0.3075000E+03  0.37500E+01    5     1055     3     3     T
      239  0.3112500E+03  0.37500E+01    5     1060     3     3     T
      240  0.3150000E+03  0.37500E+01    5     1065     3     3     T
      241  0.3187500E+03  0.37500E+01    9     1074     3     3     T
      242  0.3215625E+03  0.28125E+01    5     1079     3     3     T
      243  0.3225000E+03  0.93750E+00    2     1091     3     3     T
      244  0.3237500E+03  0.12500E+01    3     1094     3     3     T
      245  0.3253125E+03  0.15625E+01    3     1097     3     3     T
      246  0.3276562E+03  0.23438E+01    2     1099     3     3     T
      247  0.3300000E+03  0.23438E+01    2     1101     3     3     T
      248  0.3325000E+03  0.25000E+01    2     1103     3     3     T
      249  0.3356250E+03  0.31250E+01    3     1106     3     3     T
      250  0.3403125E+03  0.46875E+01    4     1110     3     3     T
      251  0.3450000E+03  0.46875E+01    4     1114     3     3     T
      252  0.3500000E+03  0.50000E+01    5     1119     3     3     T
      253  0.3550000E+03  0.50000E+01    6     1125     3     3     T
      254  0.3600000E+03  0.50000E+01    6     1131     3     3     T
      255  0.3650000E+03  0.50000E+01   10     1141     3     3     T
      256  0.3683333E+03  0.33333E+01    5     1146     3     3     T
      257  0.3716667E+03  0.33333E+01    4     1150     3     3     T
      258  0.3727778E+03  0.11111E+01    4     1164     3     3     T
      259  0.3738889E+03  0.11111E+01    2     1166     3     3     T
      260  0.3750000E+03  0.11111E+01    2     1168     3     3     T
      261  0.3765000E+03  0.15000E+01    2     1170     3     3     T
      262  0.3784286E+03  0.19286E+01    2     1172     3     3     T
      263  0.3807429E+03  0.23143E+01    2     1174     3     3     T
      264  0.3838286E+03  0.30857E+01    3     1177     3     3     T
      265  0.3900000E+03  0.61714E+01    5     1182     3     3     T
      266  0.3937500E+03  0.37500E+01    4     1186     3     3     T
      267  0.3975000E+03  0.37500E+01    4     1190     3     3     T
      268  0.4012500E+03  0.37500E+01    4     1194     3     3     T
      269  0.4050000E+03  0.37500E+01    4     1198     3     3     T
      270  0.4087500E+03  0.37500E+01    4     1202     3     3     T
      271  0.4125000E+03  0.37500E+01    4     1206     3     3     T
      272  0.4162500E+03  0.37500E+01    5     1211     3     3     T
      273  0.4200000E+03  0.37500E+01    4     1215     3     3     T
      274  0.4237500E+03  0.37500E+01   10     1225     3     3     T
      275  0.4265625E+03  0.28125E+01    4     1229     3     3     T
      276  0.4293750E+03  0.28125E+01    4     1233     3     3     T
      277  0.4321875E+03  0.28125E+01    2     1235     3     3     T
      278  0.4350000E+03  0.28125E+01    2     1237     3     3     T
      279  0.4387500E+03  0.37500E+01    3     1240     3     3     T
      280  0.4443750E+03  0.56250E+01    4     1244     3     3     T
      281  0.4500000E+03  0.56250E+01    5     1249     3     3     T
      282  0.4550000E+03  0.50000E+01    5     1254     3     3     T
      283  0.4600000E+03  0.50000E+01    5     1259     3     3     T
      284  0.4650000E+03  0.50000E+01    5     1264     3     3     T
      285  0.4700000E+03  0.50000E+01    5     1269     3     3     T
      286  0.4750000E+03  0.50000E+01    6     1275     3     3     T
      287  0.4766667E+03  0.16667E+01    4     1289     3     3     T
      288  0.4783333E+03  0.16667E+01    2     1291     3     3     T
      289  0.4800000E+03  0.16667E+01    2     1293     3     3     T
      290  0.4821429E+03  0.21429E+01    2     1295     3     3     T
      291  0.4847143E+03  0.25714E+01    2     1297     3     3     T
      292  0.4881429E+03  0.34286E+01    2     1299     3     3     T
      293  0.4950000E+03  0.68571E+01    4     1303     3     3     T
      294  0.5000000E+03  0.50000E+01    4     1307     3     3     T
      295  0.5050000E+03  0.50000E+01    4     1311     3     3     T
      296  0.5100000E+03  0.50000E+01    4     1315     3     3     T
      297  0.5150000E+03  0.50000E+01    4     1319     3     3     T
      298  0.5200000E+03  0.50000E+01    5     1324     3     3     T
      299  0.5250000E+03  0.50000E+01    5     1329     3     3     T
      300  0.5300000E+03  0.50000E+01    5     1334     3     3     T
      301  0.5350000E+03  0.50000E+01    7     1341     3     3     T
      302  0.5375000E+03  0.25000E+01    2     1343     3     3     T
      303  0.5400000E+03  0.25000E+01    2     1345     3     3     T
      304  0.5450000E+03  0.50000E+01    5     1350     3     3     T
      305  0.5500000E+03  0.50000E+01    4     1354     3     3     T
      306  0.5550000E+03  0.50000E+01    4     1358     3     3     T
      307  0.5600000E+03  0.50000E+01    4     1362     3     3     T
      308  0.5650000E+03  0.50000E+01    4     1366     3     3     T
      309  0.5700000E+03  0.50000E+01    4     1370     3     3     T
      310  0.5750000E+03  0.50000E+01    4     1374     3     3     T
      311  0.5800000E+03  0.50000E+01    4     1378     3     3     T
      312  0.5850000E+03  0.50000E+01    4     1382     3     3     T
      313  0.5900000E+03  0.50000E+01    4     1386     3     3     T
      314  0.5950000E+03  0.50000E+01    4     1390     3     3     T
      315  0.6000000E+03  0.50000E+01    5     1395     3     3     T
      316  0.6050000E+03  0.50000E+01    6     1401     3     3     T
      317  0.6100000E+03  0.50000E+01    3     1404     3     3     T
      318  0.6150000E+03  0.50000E+01    3     1407     3     3     T
      319  0.6200000E+03  0.50000E+01    4     1411     3     3     T
      320  0.6250000E+03  0.50000E+01    4     1415     3     3     T
      321  0.6300000E+03  0.50000E+01    4     1419     3     3     T
      322  0.6350000E+03  0.50000E+01    4     1423     3     3     T
      323  0.6400000E+03  0.50000E+01    4     1427     3     3     T
      324  0.6450000E+03  0.50000E+01    4     1431     3     3     T
      325  0.6500000E+03  0.50000E+01    4     1435     3     3     T
      326  0.6550000E+03  0.50000E+01    4     1439     3     3     T
      327  0.6600000E+03  0.50000E+01    4     1443     3     3     T
      328  0.6650000E+03  0.50000E+01    4     1447     3     3     T
      329  0.6700000E+03  0.50000E+01    4     1451     3     3     T
      330  0.6716667E+03  0.16667E+01    2     1463     3     3     T
      331  0.6733333E+03  0.16667E+01    2     1465     3     3     T
      332  0.6750000E+03  0.16667E+01    2     1467     3     3     T
      333  0.6780000E+03  0.30000E+01    2     1469     3     3     T
      334  0.6820000E+03  0.40000E+01    2     1471     3     3     T
      335  0.6860000E+03  0.40000E+01    2     1473     3     3     T
      336  0.6900000E+03  0.40000E+01    2     1475     3     3     T
      337  0.6975000E+03  0.75000E+01    5     1480     3     3     T
      338  0.7050000E+03  0.75000E+01    5     1485     3     3     T
      339  0.7125000E+03  0.75000E+01    5     1490     3     3     T
      340  0.7200000E+03  0.75000E+01    5     1495     3     3     T
      341  0.7275000E+03  0.75000E+01    6     1501     3     3     T
      342  0.7350000E+03  0.75000E+01    6     1507     3     3     T
      343  0.7425000E+03  0.75000E+01    7     1514     3     3     T
      344  0.7462500E+03  0.37500E+01    2     1516     3     3     T
      345  0.7500000E+03  0.37500E+01    3     1519     3     3     T
      346  0.7550000E+03  0.50000E+01    3     1522     3     3     T
      347  0.7650000E+03  0.10000E+02    7     1529     3     3     T
      348  0.7700000E+03  0.50000E+01    4     1533     3     3     T
      349  0.7750000E+03  0.50000E+01    3     1536     3     3     T
      350  0.7800000E+03  0.50000E+01    2     1538     3     3     T
      351  0.7875000E+03  0.75000E+01    5     1543     3     3     T
      352  0.7950000E+03  0.75000E+01    5     1548     3     3     T
      353  0.8025000E+03  0.75000E+01    5     1553     3     3     T
      354  0.8100000E+03  0.75000E+01    5     1558     3     3     T
      355  0.8175000E+03  0.75000E+01    6     1564     3     3     T
      356  0.8200000E+03  0.25000E+01    4     1578     3     3     T
      357  0.8225000E+03  0.25000E+01    2     1580     3     3     T
      358  0.8250000E+03  0.25000E+01    2     1582     3     3     T
      359  0.8280000E+03  0.30000E+01    2     1584     3     3     T
      360  0.8320000E+03  0.40000E+01    2     1586     3     3     T
      361  0.8400000E+03  0.80000E+01    5     1591     3     3     T
      362  0.8450000E+03  0.50000E+01    3     1594     3     3     T
      363  0.8550000E+03  0.10000E+02    6     1600     3     3     T
      364  0.8625000E+03  0.75000E+01    5     1605     3     3     T
      365  0.8700000E+03  0.75000E+01    4     1609     3     3     T
      366  0.8775000E+03  0.75000E+01    4     1613     3     3     T
      367  0.8850000E+03  0.75000E+01    4     1617     3     3     T
      368  0.8925000E+03  0.75000E+01    5     1622     3     3     T
      369  0.9000000E+03  0.75000E+01    6     1628     3     3     T
      370  0.9075000E+03  0.75000E+01    6     1634     3     3     T
      371  0.9150000E+03  0.75000E+01    5     1639     3     3     T
      372  0.9225000E+03  0.75000E+01    4     1643     3     3     T
      373  0.9300000E+03  0.75000E+01    5     1648     3     3     T
      374  0.9375000E+03  0.75000E+01    5     1653     3     3     T
      375  0.9450000E+03  0.75000E+01    4     1657     3     3     T
      376  0.9525000E+03  0.75000E+01    4     1661     3     3     T
      377  0.9600000E+03  0.75000E+01    4     1665     3     3     T
      378  0.9675000E+03  0.75000E+01    4     1669     3     3     T
      379  0.9750000E+03  0.75000E+01    4     1673     3     3     T
      380  0.9825000E+03  0.75000E+01    4     1677     3     3     T
      381  0.9900000E+03  0.75000E+01    5     1682     3     3     T
      382  0.9975000E+03  0.75000E+01    6     1688     3     3     T
      383  0.1005000E+04  0.75000E+01    5     1693     3     3     T
      384  0.1012500E+04  0.75000E+01    4     1697     3     3     T
      385  0.1020000E+04  0.75000E+01    4     1701     3     3     T
      386  0.1027500E+04  0.75000E+01    4     1705     3     3     T
      387  0.1035000E+04  0.75000E+01    4     1709     3     3     T
      388  0.1042500E+04  0.75000E+01    3     1712     3     3     T
      389  0.1050000E+04  0.75000E+01    4     1716     3     3     T
      390  0.1057500E+04  0.75000E+01    4     1720     3     3     T
      391  0.1065000E+04  0.75000E+01    4     1724     3     3     T
      392  0.1072500E+04  0.75000E+01    4     1728     3     3     T
      393  0.1080000E+04  0.75000E+01    5     1733     3     3     T
      394  0.1087500E+04  0.75000E+01    6     1739     3     3     T
      395  0.1095000E+04  0.75000E+01    7     1746     3     3     T
      396  0.1100000E+04  0.50000E+01    2     1748     3     3     T
      397  0.1105000E+04  0.50000E+01    2     1750     3     3     T
      398  0.1110000E+04  0.50000E+01    2     1752     3     3     T
      399  0.1117500E+04  0.75000E+01    3     1755     3     3     T
      400  0.1125000E+04  0.75000E+01    4     1759     3     3     T
      401  0.1132500E+04  0.75000E+01    4     1763     3     3     T
      402  0.1140000E+04  0.75000E+01    3     1766     3     3     T
      403  0.1155000E+04  0.15000E+02    7     1773     3     3     T
      404  0.1162500E+04  0.75000E+01    4     1777     3     3     T
      405  0.1170000E+04  0.75000E+01    4     1781     3     3     T
      406  0.1177500E+04  0.75000E+01    4     1785     3     3     T
      407  0.1185000E+04  0.75000E+01    5     1790     3     3     T
      408  0.1192500E+04  0.75000E+01    5     1795     3     3     T
      409  0.1200000E+04  0.75000E+01    3     1798     3     3     T
      410  0.1207500E+04  0.75000E+01    3     1801     3     3     T
      411  0.1215000E+04  0.75000E+01    3     1804     3     3     T
      412  0.1230000E+04  0.15000E+02    7     1811     3     3     T
      413  0.1237500E+04  0.75000E+01    3     1814     3     3     T
      414  0.1245000E+04  0.75000E+01    3     1817     3     3     T
      415  0.1260000E+04  0.15000E+02    9     1826     3     3     T
      416  0.1267500E+04  0.75000E+01    3     1829     3     3     T
      417  0.1275000E+04  0.75000E+01    4     1833     3     3     T
      418  0.1282500E+04  0.75000E+01    3     1836     3     3     T
      419  0.1290000E+04  0.75000E+01    4     1840     3     3     T
      420  0.1297500E+04  0.75000E+01    4     1844     3     3     T
      421  0.1305000E+04  0.75000E+01    3     1847     3     3     T
      422  0.1320000E+04  0.15000E+02    6     1853     3     3     T
      423  0.1335000E+04  0.15000E+02    5     1858     3     3     T
      424  0.1350000E+04  0.15000E+02    6     1864     3     3     T
      425  0.1365000E+04  0.15000E+02    8     1872     3     3     T
      426  0.1372500E+04  0.75000E+01    4     1876     3     3     T
      427  0.1380000E+04  0.75000E+01    4     1880     3     3     T
      428  0.1387500E+04  0.75000E+01    3     1883     3     3     T
      429  0.1395000E+04  0.75000E+01    4     1887     3     3     T
      430  0.1402500E+04  0.75000E+01    3     1890     3     3     T
      431  0.1410000E+04  0.75000E+01    3     1893     3     3     T
      432  0.1417500E+04  0.75000E+01    2     1895     3     3     T
      433  0.1425000E+04  0.75000E+01    2     1897     3     3     T
      434  0.1440000E+04  0.15000E+02    5     1902     3     3     T
      435  0.1455000E+04  0.15000E+02    5     1907     3     3     T
      436  0.1470000E+04  0.15000E+02    5     1912     3     3     T
      437  0.1485000E+04  0.15000E+02    7     1919     3     3     T
      438  0.1492500E+04  0.75000E+01    4     1923     3     3     T
      439  0.1500000E+04  0.75000E+01    2     1925     3     3     T
      440  0.1515000E+04  0.15000E+02    8     1933     3     3     T
      441  0.1522500E+04  0.75000E+01    4     1937     3     3     T
      442  0.1530000E+04  0.75000E+01    2     1939     3     3     T
      443  0.1545000E+04  0.15000E+02    5     1944     3     3     T
      444  0.1560000E+04  0.15000E+02    5     1949     3     3     T
      445  0.1575000E+04  0.15000E+02    7     1956     3     3     T
      446  0.1582500E+04  0.75000E+01    3     1959     3     3     T
      447  0.1590000E+04  0.75000E+01    2     1961     3     3     T
      448  0.1597500E+04  0.75000E+01    2     1963     3     3     T
      449  0.1605000E+04  0.75000E+01    2     1965     3     3     T
      450  0.1620000E+04  0.15000E+02    8     1973     3     3     T
      451  0.1627500E+04  0.75000E+01    2     1975     3     3     T
