

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

  2160.00000  0.429960E-02  0.000000E+00  0.544554E-03  0.000000E+00  0.237742E+00  -1000.000      0.000      4.240     144
  2175.00000  0.439785E-02  0.000000E+00  0.544568E-03  0.000000E+00  0.238420E+00  -1000.000      0.000      4.238     145
  2190.00000  0.450030E-02  0.000000E+00  0.544582E-03  0.000000E+00  0.239097E+00  -1000.000      0.000      4.236     146
  2205.00000  0.460680E-02  0.000000E+00  0.544597E-03  0.000000E+00  0.239773E+00  -1000.000      0.000      4.234     147
  2220.00000  0.471240E-02  0.000000E+00  0.544611E-03  0.000000E+00  0.240445E+00  -1000.000      0.000      4.234     148
  2235.00000  0.482430E-02  0.000000E+00  0.544625E-03  0.000000E+00  0.241110E+00  -1000.000      0.000      4.236     149
  2250.00000  0.494160E-02  0.000000E+00  0.544640E-03  0.000000E+00  0.241770E+00  -1000.000      0.000      4.235     150
  2265.00000  0.505305E-02  0.000000E+00  0.544654E-03  0.000000E+00  0.242426E+00  -1000.000      0.000      4.235     151
  2280.00000  0.517335E-02  0.000000E+00  0.544668E-03  0.000000E+00  0.243078E+00  -1000.000      0.000      4.236     152
  2295.00000  0.529080E-02  0.000000E+00  0.544683E-03  0.000000E+00  0.243729E+00  -1000.000      0.000      4.236     153
  2310.00000  0.540615E-02  0.000000E+00  0.544697E-03  0.000000E+00  0.244377E+00  -1000.000      0.000      4.235     154
  2325.00000  0.551640E-02  0.000000E+00  0.544711E-03  0.000000E+00  0.245023E+00  -1000.000      0.000      4.235     155
  2340.00000  0.564090E-02  0.000000E+00  0.544726E-03  0.000000E+00  0.245668E+00  -1000.000      0.000      4.235     156
  2355.00000  0.576300E-02  0.000000E+00  0.544740E-03  0.000000E+00  0.246313E+00  -1000.000      0.000      4.234     157
  2370.00000  0.587865E-02  0.000000E+00  0.544754E-03  0.000000E+00  0.246957E+00  -1000.000      0.000      4.233     158
  2385.00000  0.599115E-02  0.000000E+00  0.544769E-03  0.000000E+00  0.247593E+00  -1000.000      0.000      4.233     159
  2400.00000  0.610110E-02  0.000000E+00  0.544783E-03  0.000000E+00  0.248225E+00  -1000.000      0.000      4.234     160
  2415.00000  0.620265E-02  0.000000E+00  0.544797E-03  0.000000E+00  0.248852E+00  -1000.000      0.000      4.233     161
  2430.00000  0.631815E-02  0.000000E+00  0.544811E-03  0.000000E+00  0.249476E+00  -1000.000      0.000      4.234     162
  2445.00000  0.642330E-02  0.000000E+00  0.544826E-03  0.000000E+00  0.250097E+00  -1000.000      0.000      4.235     163
  2460.00000  0.651765E-02  0.000000E+00  0.544840E-03  0.000000E+00  0.250716E+00  -1000.000      0.000      4.234     164
  2475.00000  0.660270E-02  0.000000E+00  0.544854E-03  0.000000E+00  0.251333E+00  -1000.000      0.000      4.232     165
  2490.00000  0.668415E-02  0.000000E+00  0.544869E-03  0.000000E+00  0.251948E+00  -1000.000      0.000      4.232     166
  2505.00000  0.675105E-02  0.000000E+00  0.544883E-03  0.000000E+00  0.252563E+00  -1000.000      0.000      4.232     167
  2520.00000  0.679650E-02  0.000000E+00  0.544897E-03  0.000000E+00  0.253176E+00  -1000.000      0.000      4.231     168
  2535.00000  0.685245E-02  0.000000E+00  0.544912E-03  0.000000E+00  0.253790E+00  -1000.000      0.000      4.232     169
  2550.00000  0.689700E-02  0.000000E+00  0.544926E-03  0.000000E+00  0.254398E+00  -1000.000      0.000      4.233     170
  2565.00000  0.692955E-02  0.000000E+00  0.544940E-03  0.000000E+00  0.255001E+00  -1000.000      0.000      4.235     171
  2580.00000  0.696270E-02  0.000000E+00  0.544955E-03  0.000000E+00  0.255600E+00  -1000.000      0.000      4.233     172
  2595.00000  0.699345E-02  0.000000E+00  0.544969E-03  0.000000E+00  0.256196E+00  -1000.000      0.000      4.236     173
  2610.00000  0.701850E-02  0.000000E+00  0.544983E-03  0.000000E+00  0.256789E+00  -1000.000      0.000      4.236     174
  2625.00000  0.704070E-02  0.000000E+00  0.544998E-03  0.000000E+00  0.257381E+00  -1000.000      0.000      4.236     175
  2640.00000  0.705537E-02  0.000000E+00  0.545012E-03  0.000000E+00  0.257971E+00  -1000.000      0.000      4.239     176
